TestCaseID,Missing Switch Default,Local Variable Naming Convention,Formal Parameter Naming Convention,Method Naming Convention,Class Naming Convention,GenericsNaming,AbbreviationAsWordInName,AbstractClassName,CatchParameterName,ConstantName,IllegalIdentifierName,Simplify Boolean Expression,Simplify Conditional,Simplify Boolean Return,Simplified Ternary,Redundant Import,Redundant Modifier,Copy Paste Detector,Variable Declaration Usage Distance,Declaration Order,Indentation,FileTabCharacter,NeedBraces,UselessParatheses,LeftCurly,RightCurly,ParenPad,MethodParamPad,Todo Comment,Line Length,Method Length,Excessive Parameter List,Empty Control Statement,Empty Catch Block,Magic Number,Unused Formal Parameter,Unused Local Variables,Unused Private Fields,Unused Private Method,Unused Imports,EmptyBlock,Close Resource,Avoid Instantiating Objects In Loops,Comment Required,Comment Size,Comment Content,Javadoc Method,Javadoc Type,Missing Javadoc Package,Javadoc Variable,God Class,Data Class,Too Many Methods,Too Many Fields,Law of Demeter,Coupling Between Objects,Class Fan Out Complexity,Visibility Modifier,Excessive Public Count,Deficient Encapsulation,Final Parameters,Final Class,Hidden Field,Use Utility Class,Hide Utility Class Constructor,Cyclomatic Complexity,Cognitive Complexity,Broken Hierarchy,Broken Modularization,Cyclic Hierarchy,Cyclically-dependent Modularization,Deep Hierarchy,Dependency Cycles between Packages,Hub-like Modularization,Imperative Abstraction,Insufficient Modularization,Missing Hierarchy,Multifaceted Abstraction,Multipath Hierarchy,Rebellious Hierarchy,Unexploited Encapsulation,Unnecessary Abstraction,Unutilized Abstraction,Wide Hierarchy,TotalImplementationSmells,TotalDesignSmells,TotalSmells
00549329-ed0c-4400-9c84-9b6a5296582d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
00ab4f27-1ef2-43ea-ae56-940cda37cadd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,25
00f1c84f-5a56-40f7-8e6c-96745f951a64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0118a279-b821-4bc7-80d5-b16ce491b64b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,14
01b65187-e7c2-44d7-b362-631e2190cef3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
01ed5a62-b070-449d-8021-93bac5ea0b95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,16
021a0f6f-1763-4cc4-8d0a-06efa6ae4b48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
022f2a61-8386-40d7-80ac-385cc7cfc1f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
02474554-c235-455c-9bca-0c538ea6f018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,37
024c033b-95d6-4fa8-8e6b-c0d9178348e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,5,107
